Rating, Title, Review_Text, V_Cust, Review_Date, Author
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
1.0 out of 5 stars,One Star,Wrost,not-found,on 12 April 2018,Mukesh,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
1.0 out of 5 stars,One Star,Wrost,not-found,on 12 April 2018,Mukesh,
5.0 out of 5 stars,Nice phone Good features,Nice phoneGood features.Camera should be more clear. Rest things are perfect,not-found,on 12 April 2018,Ravi Shirke,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
1.0 out of 5 stars,One Star,Wrost,not-found,on 12 April 2018,Mukesh,
5.0 out of 5 stars,Nice phone Good features,Nice phoneGood features.Camera should be more clear. Rest things are perfect,not-found,on 12 April 2018,Ravi Shirke,
1.0 out of 5 stars,The mobile toooooo Slow  over heating.,Iam a Big fan of Nokia  I never used other company mobiles. But after buying Nokia 6  i am hating it. The mobile toooooo Slow  over heating.,not-found,on 12 April 2018,Amazon Customer,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
1.0 out of 5 stars,One Star,Wrost,not-found,on 12 April 2018,Mukesh,
5.0 out of 5 stars,Nice phone Good features,Nice phoneGood features.Camera should be more clear. Rest things are perfect,not-found,on 12 April 2018,Ravi Shirke,
1.0 out of 5 stars,The mobile toooooo Slow  over heating.,Iam a Big fan of Nokia  I never used other company mobiles. But after buying Nokia 6  i am hating it. The mobile toooooo Slow  over heating.,not-found,on 12 April 2018,Amazon Customer,
5.0 out of 5 stars,and has a good look camera and sound is mindblowing,That is a true legend meatalic body  and has a good look camera and sound is mindblowing.thats performance is amazing,not-found,on 12 April 2018,Amazon Customer,
5.0 out of 5 stars,Five Stars,Great mobile to use fast charging,not-found,on 13 April 2018,Amazon Customer,
1.0 out of 5 stars,One Star,very bad,not-found,on 13 April 2018,Nilansh,
1.0 out of 5 stars,One Star,Wrost,not-found,on 12 April 2018,Mukesh,
5.0 out of 5 stars,Nice phone Good features,Nice phoneGood features.Camera should be more clear. Rest things are perfect,not-found,on 12 April 2018,Ravi Shirke,
1.0 out of 5 stars,The mobile toooooo Slow  over heating.,Iam a Big fan of Nokia  I never used other company mobiles. But after buying Nokia 6  i am hating it. The mobile toooooo Slow  over heating.,not-found,on 12 April 2018,Amazon Customer,
