s.no,users_name,users_reviews,users_followers,creation_time,rating,review_text
1,Varshaa Ashish,95 Reviews,550 Followers,2018-04-13 12:37:26,Rated 3.5,"Unlike the whole hype around it, I found Bukhara okayish! Firstly, their seating was so uncomfortable (back less and stool format) so that was a big no. Besides that, food was a bit too oily for our taste. We did try the famous Dal Bukhara too but like I said that wasn't anything out of the world either. The only thing I really loved were their prawns...the preparation, marination, everything was perfect and they smelled real good too. Their HUGE Naan is a definite photo-prop, so overall not the first place I'd go to if I had a special celebration planned!"
2,Aadit Sharma,23 Reviews,60 Followers,2018-04-10 18:26:43,Rated 5.0,"living up to it's name! probably the best dal makhni I've ever had in Delhi, although we had a waiting time of 25 minutes but I can surely say that it was worth it. Everything from the decor , interiors , staff to the food was brilliant. the most amazing thing there is the big naan that they serve . It is a must have for everyone to try it atleast once. We were 3 people and we shared that one big naan. Amazing!!!"
3,Kanika Kashyap,55 Reviews,187 Followers,2018-04-10 11:43:01,Rated 5.0,"Finally went to this place after hearing so much about it. On entering you see low height tables and stools with brass cutlery, giving out the vibe of an old village restaurant. Loved their Dal Bukhara, it's a must try. Moving on to non-veg, I had their mugh malai kebab, which just melted in my mouth. The service was nothing short of perfection."
4,Shrey Agarwal,24 Reviews,84 Followers,2018-04-08 00:13:38,Rated 5.0,"Finally went to this place after listening heaps of praises about the quality of food they offer and I must say the place didn’t disappoint at all. Although Had to wait for an hour before we could get a table, but I guess the wait for worth the while."
5,Shubham Aggarwal,35 Reviews,110 Followers,2018-04-01 11:02:55,Rated 5.0,"I went there last weekend with a bunch of friends on recommendation and reviews, as expected the ambiance of Bukhara was just mind blowing, so authentic it was. Coming to Food Dal Bukhara is their USP along with Nan Bukhara and it exceeded our expectations(talking only Veg coz I am Vegetarian and yes my friends also liked the non vegetarian food that they ordered). I would definitely come back soon and would recommend my near and dear once to come and enjoy the food."
6,Akanksha,67 Reviews,135 Followers,2018-03-27 17:42:52,Rated 2.0,Visited Bukhara to celebrate our anniversary. Was looking forward to enjoying good food. We ordered the famous dal makhani and naans along with mocktail.
7,Zohra Abdullah,21 Reviews,32 Followers,2018-03-27 10:24:30,Rated 5.0,"Always a pleasurable experience here. The staff remembered us even though we were visiting after a couple of years. The food was excellent, even managed to find a vegan option."
8,Tushar Goel,84 Reviews,183 Followers,2018-03-25 20:14:54,Rated 3.0,"We ordered room service. We got the vegetable club sandwich with a side of fries, aloo parantha and dal tadka. The food was lovely. Nothing extraordinary though. The service was good."
9,Milind Jha,61 Reviews,167 Followers,2018-03-23 11:30:20,Rated 4.0,"Hmm.. So this restaurant is one of those highly rated ones in Delhi, in India.. And also in the world.."
10,Mohit Sharma,34 Reviews,216 Followers,2018-03-22 15:19:40,Rated 3.0,When I got tired of listening that Bukhara Dal is God’s made dal. I went to Bukhara and while it was not bad. It was not something that made me jump from my seat. I also ordered mutton and The giant nan. Overall an average experience and nothing to be in aww of.
11,Rishabh Tanwar,91 Reviews,514 Followers,2018-03-16,Rated 5.0,"I won't write a comprehensive review for many great people have said even greater thing about it. celebrating a birthday here takes the experience to another level, the person who waited on us was extremely polite, gave me so many complimentary things for the birthday. amazing experience. I wouldn't call it once in a lifetime experience because I will never get bored of this place ever in my life."
12,Gursharan Chana,122 Reviews,33 Followers,2018-03-12,Rated 4.5,Great kebabs served with giant naan breads!.....now that' a great combo. This place is a meat lovers paradise. Kebabs have been marinated in various recipes and are all delicious. The Dal Makhani is also very tasty.
